Organization,Name,Street Address,City,State,Postal Code,lat,lon,Organization,Name,Street Address,lat,lon,distance (km)
Strive Together,All Hands Raised,,Portland,OR,,45.5273597,-122.6447925,YBUSA,AMIkids Beaufort Inc.,60 Honeybee Island Road	Seabrook	SC	29940,32.56899,-80.68511,3848.243590379396
Strive Together,All Hands Raised,,Portland,OR,,45.5273597,-122.6447925,YBUSA,Antelope Valley YouthBuild,38626 9th Street East	Palmdale	CA	93550,34.58539,-118.11403,1276.1707514010889
Strive Together,All Hands Raised,,Portland,OR,,45.5273597,-122.6447925,YBUSA,Arrowhead YouthBuild,702 Third Avenue	Virginia	MN	55792,47.51762,-92.53375,2300.564928253612
Strive Together,All Hands Raised,,Portland,OR,,45.5273597,-122.6447925,YBUSA,Asian Media Access,2418 Plymouth Ave N	Minneapolis	MN	55411,44.99179,-93.31169,2284.557371797147
Strive Together,All Hands Raised,,Portland,OR,,45.5273597,-122.6447925,YBUSA,Aurora YouthBuild,1685 N Farnsworth Ave.	Aurora	IL	60505,41.791075,-88.281367,2774.607761964606
Strive Together,All Hands Raised,,Portland,OR,,45.5273597,-122.6447925,YBUSA,Beloit Fresh Start,20 Eclipse Center	Beloit	WI	53511,42.52033,-89.03186,2689.14676073128
Strive Together,All Hands Raised,,Portland,OR,,45.5273597,-122.6447925,YBUSA,Benton Harbor YouthBuild,315 East Main Street	Benton Harbor	MI	49022,42.11733,-86.45102,2904.262387230972
Strive Together,All Hands Raised,,Portland,OR,,45.5273597,-122.6447925,YBUSA,Bethel YouthBuild,1250 Portland Avenue	Chicago Heights	IL	60411,41.50823,-87.62403,2836.8282590851213
Strive Together,All Hands Raised,,Portland,OR,,45.5273597,-122.6447925,YBUSA,Bibb County School District,2011 Riverside Dr.	Macon	GA	31204,32.856935,-83.643415,3601.918190209884
Strive Together,All Hands Raised,,Portland,OR,,45.5273597,-122.6447925,YBUSA,BI-CAP YouthBuild,3023 Mill St NE	Bemidji	MN	56601,47.46806,-94.83356,2128.897671660355
Strive Together,All Hands Raised,,Portland,OR,,45.5273597,-122.6447925,YBUSA,Build With Pride,4283 El Cajon Boulevard	San Diego	CA	92105,32.754885,-117.102191,1498.0176711345043
Strive Together,All Hands Raised,,Portland,OR,,45.5273597,-122.6447925,YBUSA,Building Futures YouthBuild,5800 Godfrey Road	Godfrey	IL	62035,38.95288,-90.19333,2749.7833548934063
Strive Together,Aspire,,Toledo,OH,,41.7041482,-83.5897269,YBUSA,American YouthWorks,1901 E. Ben White Bv	Austin	TX	78741,30.21537,-97.747365,1800.2251361759909
Strive Together,Aspire,,Toledo,OH,,41.7041482,-83.5897269,YBUSA,AMIkids Baton Rouge,5555 Beechwood Drive	Baton Rouge	LA	70805,30.50109,-91.14448,1417.6426830905016
Strive Together,Aspire,,Toledo,OH,,41.7041482,-83.5897269,YBUSA,AMIkids Beaufort Inc.,60 Honeybee Island Road	Seabrook	SC	29940,32.56899,-80.68511,1048.0515788236135
Strive Together,Aspire,,Toledo,OH,,41.7041482,-83.5897269,YBUSA,Antelope Valley YouthBuild,38626 9th Street East	Palmdale	CA	93550,34.58539,-118.11403,3099.5427833190397
Strive Together,Aspire,,Toledo,OH,,41.7041482,-83.5897269,YBUSA,Arrowhead YouthBuild,702 Third Avenue	Virginia	MN	55792,47.51762,-92.53375,957.872022407989
Strive Together,Aspire,,Toledo,OH,,41.7041482,-83.5897269,YBUSA,Asian Media Access,2418 Plymouth Ave N	Minneapolis	MN	55411,44.99179,-93.31169,866.477214255413
Strive Together,Aspire,,Toledo,OH,,41.7041482,-83.5897269,YBUSA,Aurora YouthBuild,1685 N Farnsworth Ave.	Aurora	IL	60505,41.791075,-88.281367,389.41646833972254
Strive Together,Aspire,,Toledo,OH,,41.7041482,-83.5897269,YBUSA,Beloit Fresh Start,20 Eclipse Center	Beloit	WI	53511,42.52033,-89.03186,458.0493157178441
Strive Together,Aspire,,Toledo,OH,,41.7041482,-83.5897269,YBUSA,Benton Harbor YouthBuild,315 East Main Street	Benton Harbor	MI	49022,42.11733,-86.45102,241.25082564603295
Strive Together,Aspire,,Toledo,OH,,41.7041482,-83.5897269,YBUSA,Bethel YouthBuild,1250 Portland Avenue	Chicago Heights	IL	60411,41.50823,-87.62403,336.206758760955
Strive Together,Aspire,,Toledo,OH,,41.7041482,-83.5897269,YBUSA,Bibb County School District,2011 Riverside Dr.	Macon	GA	31204,32.856935,-83.643415,984.0854576213354
Strive Together,Aspire,,Toledo,OH,,41.7041482,-83.5897269,YBUSA,BI-CAP YouthBuild,3023 Mill St NE	Bemidji	MN	56601,47.46806,-94.83356,1095.6815085747435
Strive Together,Aspire,,Toledo,OH,,41.7041482,-83.5897269,YBUSA,Build With Pride,4283 El Cajon Boulevard	San Diego	CA	92105,32.754885,-117.102191,3107.5835287374825
Strive Together,Aspire,,Toledo,OH,,41.7041482,-83.5897269,YBUSA,Building Futures YouthBuild,5800 Godfrey Road	Godfrey	IL	62035,38.95288,-90.19333,637.8603596957296
Strive Together,Austin Aspires,,Austin,MN,,43.6684521,-92.9753123,YBUSA,American YouthWorks,1901 E. Ben White Bv	Austin	TX	78741,30.21537,-97.747365,1554.6273735025102
Strive Together,Austin Aspires,,Austin,MN,,43.6684521,-92.9753123,YBUSA,AMIkids Baton Rouge,5555 Beechwood Drive	Baton Rouge	LA	70805,30.50109,-91.14448,1473.4782022835045
Strive Together,Austin Aspires,,Austin,MN,,43.6684521,-92.9753123,YBUSA,AMIkids Beaufort Inc.,60 Honeybee Island Road	Seabrook	SC	29940,32.56899,-80.68511,1633.6721416910195
Strive Together,Austin Aspires,,Austin,MN,,43.6684521,-92.9753123,YBUSA,Antelope Valley YouthBuild,38626 9th Street East	Palmdale	CA	93550,34.58539,-118.11403,2380.347018661581
Strive Together,Austin Aspires,,Austin,MN,,43.6684521,-92.9753123,YBUSA,Arrowhead YouthBuild,702 Third Avenue	Virginia	MN	55792,47.51762,-92.53375,429.51736372028614
Strive Together,Austin Aspires,,Austin,MN,,43.6684521,-92.9753123,YBUSA,Asian Media Access,2418 Plymouth Ave N	Minneapolis	MN	55411,44.99179,-93.31169,149.60767900444824
Strive Together,Austin Aspires,,Austin,MN,,43.6684521,-92.9753123,YBUSA,Aurora YouthBuild,1685 N Farnsworth Ave.	Aurora	IL	60505,41.791075,-88.281367,436.58756878782333
Strive Together,Austin Aspires,,Austin,MN,,43.6684521,-92.9753123,YBUSA,Beloit Fresh Start,20 Eclipse Center	Beloit	WI	53511,42.52033,-89.03186,344.7745132248248
Strive Together,Austin Aspires,,Austin,MN,,43.6684521,-92.9753123,YBUSA,Benton Harbor YouthBuild,315 East Main Street	Benton Harbor	MI	49022,42.11733,-86.45102,558.7761512968843
Strive Together,Austin Aspires,,Austin,MN,,43.6684521,-92.9753123,YBUSA,Bethel YouthBuild,1250 Portland Avenue	Chicago Heights	IL	60411,41.50823,-87.62403,499.63021185919416
Strive Together,Austin Aspires,,Austin,MN,,43.6684521,-92.9753123,YBUSA,Bibb County School District,2011 Riverside Dr.	Macon	GA	31204,32.856935,-83.643415,1450.5744093216967
Strive Together,Austin Aspires,,Austin,MN,,43.6684521,-92.9753123,YBUSA,BI-CAP YouthBuild,3023 Mill St NE	Bemidji	MN	56601,47.46806,-94.83356,446.6772507215529
Strive Together,Austin Aspires,,Austin,MN,,43.6684521,-92.9753123,YBUSA,Build With Pride,4283 El Cajon Boulevard	San Diego	CA	92105,32.754885,-117.102191,2419.899310428396
Strive Together,Austin Aspires,,Austin,MN,,43.6684521,-92.9753123,YBUSA,Building Futures YouthBuild,5800 Godfrey Road	Godfrey	IL	62035,38.95288,-90.19333,573.6133656715763
Strive Together,Baltimore's Promise,,Baltimore,MD,,39.3558582,-76.6455333,YBUSA,American YouthWorks,1901 E. Ben White Bv	Austin	TX	78741,30.21537,-97.747365,2171.7668762462113
Strive Together,Baltimore's Promise,,Baltimore,MD,,39.3558582,-76.6455333,YBUSA,AMIkids Baton Rouge,5555 Beechwood Drive	Baton Rouge	LA	70805,30.50109,-91.14448,1645.1887748231902
